date,num_people,num_order
2021-01-24,932.0,302.0
2021-01-25,655.0,206.0
2021-01-26,725.0,190.0
2021-01-27,916.0,263.0
2021-01-28,772.0,249.0
2021-01-29,948.0,269.0
2021-01-30,1132.0,300.0
2021-02-01,941.0,255.0
2021-02-02,745.0,231.0
2021-02-03,971.0,266.0
2021-02-04,877.0,230.0
2021-02-05,1214.0,353.0
2021-02-06,1488.0,396.0
2021-02-07,1098.0,321.0
2021-02-08,1127.0,335.0
2021-02-09,1422.0,377.0
2021-02-10,1663.0,499.0
2021-02-11,305.0,89.0
2021-02-12,1485.0,331.0
2021-02-13,1308.0,356.0
2021-02-14,2267.0,588.0
2021-02-15,1548.0,397.0
2021-02-16,1522.0,403.0
2021-02-17,1644.0,426.0
2021-02-18,1474.0,413.0
2021-02-19,1330.0,364.0
2021-02-20,1668.0,420.0
2021-02-21,1640.0,388.0
2021-02-22,1102.0,324.0
2021-02-23,1289.0,314.0
2021-02-24,1400.0,327.0
2021-02-25,1199.0,277.0
2021-02-26,1079.0,243.0
2021-02-27,1461.0,392.0
2021-03-30,510.0,167.0
2021-03-31,708.0,223.0
2021-04-01,728.0,242.0
2021-04-02,763.0,229.0
2021-04-03,1014.0,290.0
2021-04-04,988.0,250.0
2021-04-05,899.0,273.0
2021-04-06,453.0,130.0
2021-04-07,643.0,199.0
2021-04-08,510.0,161.0
2021-04-09,701.0,163.0
2021-04-10,1567.0,325.0
2021-04-11,1111.0,261.0
2021-04-12,399.0,120.0
2021-04-13,583.0,164.0
2021-04-14,719.0,154.0
2021-04-15,712.0,169.0
2021-04-16,757.0,173.0
2021-04-17,1292.0,257.0
2021-04-18,1082.0,269.0
2021-04-19,590.0,159.0
2021-04-20,509.0,166.0
2021-04-21,755.0,177.0
2021-04-22,702.0,182.0
2021-04-23,792.0,261.0
2021-04-24,1120.0,261.0
2021-04-25,557.0,148.0
2021-04-26,398.0,159.0
2021-04-27,553.0,174.0
2021-04-28,531.0,172.0
2021-04-29,772.0,223.0
2021-04-30,1066.0,356.0
2021-05-01,1405.0,398.0
2021-05-02,1144.0,319.0
2021-05-03,1285.0,363.0
2021-05-04,1260.0,293.0
2021-05-05,1143.0,298.0
2021-05-06,676.0,162.0
2021-05-07,686.0,171.0
2021-05-08,1016.0,246.0
2021-05-09,1328.0,267.0
2021-05-10,767.0,239.0
2021-05-11,571.0,193.0
2021-05-12,656.0,181.0
2021-05-13,801.0,193.0
2021-05-14,990.0,234.0
2021-05-15,1601.0,342.0
2021-05-16,1413.0,357.0
2021-05-17,850.0,172.0
2021-05-18,828.0,166.0
2021-05-19,676.0,171.0
2021-05-20,1470.0,236.0
2021-05-21,1021.0,209.0
2021-05-22,1547.0,316.0
2021-05-23,1450.0,300.0
2021-05-24,482.0,173.0
2021-05-25,621.0,181.0
2021-05-26,638.0,177.0
2021-05-27,779.0,206.0
2021-05-28,1081.0,217.0
